Source Name               Right Asc.           Declination
2206-185 ................ 22.102894 .......... -18.594096 
2213-254 ................ 22.217360 .......... -25.491689 
2218-035 ................ 22.314455 .......... -3.593577 
2225-049 ................ 22.429794 .......... -4.950386 
2225-049 ................ 22.429794 .......... -4.950386 
2229-085 ................ 22.494468 .......... -8.548453 
2230+697 ................ 22.510131 .......... 69.774466 
2232+117 ................ 22.543447 .......... 11.730807 
2232+117 ................ 22.543447 .......... 11.730807 
2236+284 ................ 22.606242 .......... 28.482616 
2246-121 ................ 22.771731 .......... -12.114243 
2249+116 ................ 22.831829 .......... 11.608567 
2253+161 ................ 22.899374 .......... 16.148211 
2253+161 ................ 22.899374 .......... 16.148212 
2258-279 ................ 22.968323 .......... -27.972570 
2316+040 ................ 23.276447 .......... 4.088374 
2320+052 ................ 23.345794 .......... 5.230543 
2322+509 ................ 23.373884 .......... 50.964434 
2346+095 ................ 23.776900 .......... 9.512644 
2348-165 ................ 23.800725 .......... -16.520006 
2350+646 ................ 23.848588 .......... 64.671619 
2358-103 ................ 23.969690 .......... -10.335725 
3C10 .................... 0.421139 ........... 64.141667 
3C111 ................... 4.305897 ........... 38.026616 
3C119 ................... 4.543473 ........... 41.641231 
3c119 ................... 4.543473 ........... 41.641236 
3c119 ................... 4.543473 ........... 41.641236 
3C120 ................... 4.553082 ........... 5.354340 
3C123 ................... 4.617826 ........... 29.670871 
3c123 ................... 4.617882 ........... 29.670506 
3c123 ................... 4.617882 ........... 29.670506 
3c133 ................... 5.049606 ........... 25.273401 
3c138 ................... 5.352746 ........... 16.639459 
3c138 ................... 5.352746 ........... 16.639459 
3C138 ................... 5.352751 ........... 16.639477 
3C147 ................... 5.710035 ........... 49.851994 
3c147 ................... 5.710038 ........... 49.852009 
3c147 ................... 5.710038 ........... 49.852009 
3C147 ................... 5.710056 ........... 49.851944 
3c153 ................... 6.159038 ........... 48.070992 
3C161 ................... 6.452750 ........... -4.114444 
3c161 ................... 6.452804 ........... -5.884658 
3c175 ................... 7.217333 ........... 11.770722 
3c196 ................... 8.226681 ........... 48.217295 
3c216 ................... 9.159305 ........... 42.896244 
3C227 ................... 9.796000 ........... 7.420278 
3C232 ................... 9.972486 ........... 32.400605 
3c237 ................... 10.133338 .......... 7.504598 
3C249.1 ................. 11.069861 .......... 76.983611 
3C273 ................... 12.485194 .......... 2.052388 
3c273 ................... 12.485194 .......... 2.052388 
3c273 ................... 12.485194 .......... 2.052388 
3C274 ................... 12.513729 .......... 12.391123 
3c274 ................... 12.513729 .......... 12.391123 
3c279 ................... 12.936435 .......... -5.789312 
3c279 ................... 12.936435 .......... -5.789312 
3C279 ................... 12.936435 .......... -5.789313 
3c283 ................... 13.194260 .......... -22.278263 
3C286 ................... 13.518969 .......... 30.509155 
3c286 ................... 13.518969 .......... 30.509155 
3c286 ................... 13.518969 .......... 30.509155 
3C287 ................... 13.510469 .......... 25.153049 
3c287 ................... 13.510469 .......... 25.153049 
3c292 ................... 13.838000 .......... 64.650000 
3c295 ................... 14.189069 .......... 52.202539 
3c298 ................... 14.318939 .......... 6.476334 
3C309.1 ................. 14.985431 .......... 71.672156 
3c309.1 ................. 14.985440 .......... 71.672185 
3c327.1 ................. 16.079248 .......... 1.297562 
3c343 ................... 16.576056 .......... 62.759973 
3c343.1 ................. 16.641168 .......... 62.578977 
3C345 ................... 16.716336 .......... 39.810276 
3c345 ................... 16.716336 .......... 39.810276 
3c345 ................... 16.716336 .......... 39.810276 
3C353 ................... 17.341157 .......... -0.979611 
3C358 ................... 17.511889 .......... -20.529444 
3C371 ................... 18.114078 .......... 69.824474 
3c38 .................... 1.340888 ........... -15.337953 
3c380 ................... 18.492162 .......... 48.746156 
3c380 ................... 18.492162 .......... 48.746156 
3c380 ................... 18.492162 .......... 48.746156 
3C390.3 ................. 18.709184 .......... 80.053569 
3C391 ................... 18.822750 .......... -0.920278 
3C395 ................... 19.048872 .......... 31.994908 
3c395 ................... 19.048872 .......... 31.994917 
3c400 ................... 19.395000 .......... 14.509200 
3c418 ................... 20.643621 .......... 51.320184 
3c418 ................... 20.643621 .......... 51.320185 
3c428 ................... 21.139475 .......... 49.613994 
3C446 ................... 22.429794 .......... -4.950386 
3c446 ................... 22.429794 .......... -4.950386 
3c454.3 ................. 22.899374 .......... 16.148211 
3C454.3 ................. 22.899374 .......... 16.148212 
3c459 ................... 23.276447 .......... 4.088374 
3c468.1 ................. 23.848588 .......... 64.671619 
3c48 .................... 1.628139 ........... 33.159759 
3c48 .................... 1.628139 ........... 33.159759 
3c48 .................... 1.628139 ........... 33.159759 
3C66A ................... 2.377670 ........... 43.035500 
3c84 .................... 3.330044 ........... 41.511695 
3c84 .................... 3.330044 ........... 41.511695 
3C84 .................... 3.330044 ........... 41.511696 
55cancri ................ 8.876614 ........... 28.330819 
55cnc ................... 8.876610 ........... 28.330830 
adhara .................. 6.983000 ........... -29.000000 
afdemo-1 ................ 10.970810 .......... 9.943514 
after-psrb0809+74 ....... 9.249861 ........... 74.484920 
alnilam ................. 5.360000 ........... -1.200000 
alnitak ................. 5.679300 ........... 1.942800 
Altair_S125122 .......... 19.846361 .......... 8.868333 
aludra .................. 7.400000 ........... -29.300000 
ARCTURUS ................ 14.261000 .......... 19.182500 
Arcturus_S100944 ........ 14.261000 .......... 19.182500 
b0809+74 ................ 8.249861 ........... 74.484917 
barnard ................. 17.963472 .......... 4.693391 
bd114586 ................ 18.300929 .......... -11.294119 
